parameter,median,percentile_16,percentile_84
0-center_x,0.0009764449129353207,0.0007895858068899212,0.0011712581328771321
1-center_y,0.005831062916445118,0.005619087313857918,0.006042904682829837
2-e1,-0.08760506337654993,-0.08995210826566459,-0.08514764023106668
3-e2,-0.027195854955724595,-0.029887723182673263,-0.02433123542400753
4-theta_E,0.9449625396926651,0.9437610777720564,0.9460433049770244
5-gamma1,-0.033832447036685746,-0.035481841052445576,-0.03204520922968372
6-gamma2,0.008789238602078586,0.006877644319573625,0.010698641010073607
7-R_sersic,0.5170069288818967,0.4914758694181842,0.5439930586133663
8-center_x,0.05465184298850044,0.05383540728715446,0.055714575030537
9-center_y,-0.09377189446383107,-0.09492937783667164,-0.09294064116339705
10-e1,-0.09060934061054605,-0.09943137904218846,-0.08193715282077445
11-e2,-0.288646457127395,-0.2968502462920589,-0.2806387910551358
12-R_sersic,1.6702734544537325,1.628698530899405,1.710853877789829
13-R_sersic,0.881496600622817,0.8773842128941406,0.8855794288487977
14-e1,-0.04667089835348119,-0.047608036912167744,-0.045685073950328184
15-e2,-0.05329188870862831,-0.05413439679597504,-0.052396906730707654
16-R_sersic,5.340925977689195,5.245601359920029,5.435166321225555
